caminho_relativo,classe,conjunto
Avulsion fracture/Train/Pre-operative-X-ray-shows-avulsion-fracture-of-the-fibular-head-without-dislocation-of_png.rf.e7b4718d35f57eb561940fa4509d1cf2.jpg,Avulsion fracture,treino
Avulsion fracture/Train/SaudiJSportsMed_2017_17_1_22_197465_u1_jpg.rf.90c56f07b7728660ce6cfba13e332f6d.jpg,Avulsion fracture,treino
Avulsion fracture/Train/SaudiJSportsMed_2021_21_2_69_327488_f1_jpg.rf.7acce1c23e10ac231fa340b32dc2.jpg,Avulsion fracture,treino
Avulsion fracture/Train/SaudiJSportsMed_20465_u1_jpg.rf.90c56f07b7728660ce6cfba13e332f6d.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Segond-Fx-label-2_png.rbecbcb0ff8e7e06cb974569469.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Segond-Fx-label-2_png.rf.ebecbcb0f575f895e7e06cb974569469.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Segond-Fx-label-2_png.rf.ebecbcb0ff895e7e06cb974569469.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Segond-Fx-label-2_png.rf.ebecbcb0ff8e7e06cb974569469.jpg,Avulsion fracture,treino
Avulsion fracture/Train/arm-39-473-g002_jpg.rf.6148aa4ee9d3a52d47dfd2131450cb5d.jpg,Avulsion fracture,treino
Avulsion fracture/Train/cow539-2_jpg.rf.6016bc74fad63aefd02c973b2a7994f0.jpg,Avulsion fracture,treino
Avulsion fracture/Train/cow539-3_jpg.rf.71e336264ac124aeb83eb286373554da.jpg,Avulsion fracture,treino
Avulsion fracture/Train/e35976_4fe265db4c064d53bc55e857fbecc28dmv2_png.rf.48ff6ace881ba10b5937fd534990c4f6.jpg,Avulsion fracture,treino
Avulsion fracture/Train/g08oc12g07b_jpeg.rf.c5d8e582e388077397dc7f5418ec818c.jpg,Avulsion fracture,treino
Avulsion fracture/Train/g08oc12g10a_jpeg.rf.b3c91a586684ff23feec0e24add35b5b.jpg,Avulsion fracture,treino
Avulsion fracture/Train/g08oc12g13a_jpeg.rf.fb2516cd00452087ae81453b856e5eb7.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image13_jpeg.rf.629135763282eca324d34d3bdde57075.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image14_jpeg.rf.359749fca105f483ac0fdf9973fec7ee.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image18_jpeg.rf.9d59531f4a8ac9f6a09d34b858e56cea.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image19_jpeg.rf.83625b51238263f7220c91aab55d5aa0.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image210_jpeg.rf.a9a08c3f3525414fd06895935e631ce5.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image210_jpeg.rf.a9a08c3f3525414fd0689593e631ce5.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image21_jpeg.rf.0626d85b6de6fed9102a1a4eb179c7f3.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image22_jpeg.rf.45894d44324a7251eb5d3af227bdd003.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image23_jpeg.rf.e356cb69158aed1da5d1fda94acc09df.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image25_jpeg.rf.ce36231a54a62ee9d6ebbafc0fd859ea.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image26_jpeg.rf.67555d2f3465a28984327b08ec6c0325.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image30_jpeg.rf.e406e467fb037f74a61604be642212.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image30_jpeg.rf.e406e467fb037f74a616a004be642212.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image31_jpeg.rf.c31b74efca3394ab4c71a1e5ac50306.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image31_jpeg.rf.c31b74efca3394ab54c71a1e5ac50306.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image3_jpeg.rf.70e5a26cf73c48a5692c11c1deea98e4.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image4_jpeg.rf.fcb144c2ca481bd5d99340ba46574506.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image6_jpeg.rf.705e5cb2166c15baf86ae05ae1c534bb.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image7_jpeg.rf.cdf517093bf5477debbf9bb78a330625.jpg,Avulsion fracture,treino
Avulsion fracture/Train/image8_jpeg.rf.7e052c435cfae6bfa73077eacacf710f.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images15_jpg.rf.791e6a68039a07804cc5c7e714abffd7.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images16_jpg.rf.d505cf1bdaa5e3f74e3c3f6bd2145185.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images20_jpg.rf.62aeaabb8aa2467371f2f9f4838495f9.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images22_jpg.rf.f66863f67a82f47a67f263e410ee8d4a.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images26_jpg.rf.1b82fb47010737394b99f8f0d5eb9d6d.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images2_jpg.rf.004dfc1919a390d5e6c93b5634105a66.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images3_jpg.rf.de0165f64aa6a64ce3dd9552eb0165b7.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images5_jpg.rf.9aef7c8db80fe7194a89674aae2a0838.jpg,Avulsion fracture,treino
Avulsion fracture/Train/images9_jpg.rf.c7cfaf208f09581e9eae3e22174f9509.jpg,Avulsion fracture,treino
Avulsion fracture/Train/jbsr-104-1-2180-g1_png.rf.d25dbeb8e4b12c378e082b7f753eb60a.jpg,Avulsion fracture,treino
Avulsion fracture/Train/jbsr-104-1-2180-g1_png.rf.dbeb8e4b12c378e082b7f753eb60a.jpg,Avulsion fracture,treino
Avulsion fracture/Train/jum14189-fig-0003-m_jpg.rf.8c08987a911f109ccc695630259c4071.jpg,Avulsion fracture,treino
Avulsion fracture/Train/knee-X-rays-showing-a-displaced-avulsion-fracture-of-the-tibial-tuberosity_jpg.rf.e16eee5a24caa9e868c41554ed1c3620.jpg,Avulsion fracture,treino
Avulsion fracture/Train/knee-X-rays-showing-a-displaced-avulsion-fracture-of-the-tibiauberosity_jpg.rf.e16eee5a24caa9e868c41554ed1c3620.jpg,Avulsion fracture,treino
Avulsion fracture/Train/ray-showed-an-avulsion-fracture-at-the-base-of-DP_Q320_jpg.rf.9e506395a15ac5083ee709c17345558c.jpg,Avulsion fracture,treino
Avulsion fracture/Train/slide_5_jpg.rf.633ceaa5b85a07c9fab2ef182e12bc72.jpg,Avulsion fracture,treino
Avulsion fracture/Train/spine_jpg.rf.9ba16757b6874ae00f935cc8eae5.jpg,Avulsion fracture,treino
Avulsion fracture/Train/spine_jpg.rf.9ba16757b6874ae943c00f935cc8eae5.jpg,Avulsion fracture,treino
Avulsion fracture/Train/tcr-5-078-001_jpg.rf.d4099231ae325a7cbcaa0488a5882079.jpg,Avulsion fracture,treino
Avulsion fracture/Train/tibial-spine_-avulsion_jpg.rf.275ac4b79ba72cb8b3e7f507271fdf42.jpg,Avulsion fracture,treino
Comminuted fracture/Test/Picture1_jpg.rf.8f2419c6c065392dfad896e83f29f0cf.jpg,Comminuted fracture,treino
Comminuted fracture/Test/T1507F01_Fig03B_jpg.rf.ca5bf37cc498403dd7bc84931bda4253.jpg,Comminuted fracture,treino
Comminuted fracture/Test/X-ray_of_a_comminuted_hip_fracture_jpg.rf.6725d6fabfddc890e45180cf483808a9.jpg,Comminuted fracture,treino
Comminuted fracture/Test/images95_jpg.rf.54b02400b9746a0aafc2c9b4d6d98332.jpg,Comminuted fracture,treino
Comminuted fracture/Test/images98_jpg.rf.411320e212e6bd90114d4f8832a7fc1c.jpg,Comminuted fracture,treino
Comminuted fracture/Test/images99_jpg.rf.52c1ae7d26ef95067175fe511216338a.jpg,Comminuted fracture,treino
Comminuted fracture/Test/open-fracture-tibia_jpg.rf.792969425566c2fe5437ac8a1aa400dc.jpg,Comminuted fracture,treino
Comminuted fracture/Train/059ba7d36491f99746b604ce4caa16_gallery_jpeg.rf.07edace837b62cc4a9da6c816c4caabe.jpg,Comminuted fracture,treino
Comminuted fracture/Train/083017orthodxfigure101_1281411_jpg.rf.2d1a32af448d06416d7e89a1656d1b77.jpg,Comminuted fracture,treino
Comminuted fracture/Train/10140_2011_941_Fig2_HTML_jpg.rf.37eefc302b45d5a693e0dfbf6e629426.jpg,Comminuted fracture,treino
Comminuted fracture/Train/10d41db0c5b211ecaf8f3b25e1532d5e-Figure-1-ab_png.rf.2b8f2e1fb03a549c1255a9d94aa8f7d8.jpg,Comminuted fracture,treino
Comminuted fracture/Train/10d41db0c5b211ecaf8f3b25e15igure-1-ab_png.rf.2b8f2e1fb03a549c1255a9d94aa8f7d8.jpg,Comminuted fracture,treino
Comminuted fracture/Train/110005_jumbo_jpeg.rf.4d42ca9d986abd70ea8fda02ae1bd48e.jpg,Comminuted fracture,treino
Comminuted fracture/Train/13018_2019_1385_Fig1_HTML_png.rf.a5d26d2db8ec1989bb7c626c49b6d906.jpg,Comminuted fracture,treino
Comminuted fracture/Train/20121tn_jpg.rf.595356bbc69f8bae274a3c16b720bd9d.jpg,Comminuted fracture,treino
Comminuted fracture/Train/20467tn_jpg.rf.0305d8adb13b816658d5b933ed02ac6f.jpg,Comminuted fracture,treino
Comminuted fracture/Train/21135tn_jpg.rf.a87fc40b05fbd5c5cfdfdbd84caef384.jpg,Comminuted fracture,treino
Comminuted fracture/Train/2j96ew8_jpg.rf.562559298d1c3fecd554d372b90bd166.jpg,Comminuted fracture,treino
Comminuted fracture/Train/2j96ewr_jpg.rf.2471c83791b64a5fb10def3ce4ea8bef.jpg,Comminuted fracture,treino
Comminuted fracture/Train/305547tn_jpg.rf.6ade706b544f0fd96738769085b99bc1.jpg,Comminuted fracture,treino
Comminuted fracture/Train/32048tn_jpg.rf.9b69767d2583ebce1ec13bc008291940.jpg,Comminuted fracture,treino
Comminuted fracture/Train/798bdba5bfea0252051940ce782bb2_jumbo_jpeg.rf.b77df08eec1dfb556bcbd8111607d6e1.jpg,Comminuted fracture,treino
Comminuted fracture/Train/9d79b527cca86a56fa24c88017e6bbd4-x-rays-physiology_jpg.rf.6e30d9c2b060a4d6a916d979e3be13f7.jpg,Comminuted fracture,treino
Comminuted fracture/Train/A-Plain-X-ray-CT-image-showing-distal-humerus-comminuted-fracture-extending-to_Q640_jpg.rf.c15113c7015656a1a3eed9e4803477a4.jpg,Comminuted fracture,treino
Comminuted fracture/Train/A-Preoperative-X-ray-showed-ulnar-shaft-com-B-Immediate_png.rf.4bf6cc3b49ab1abe7c261360a3178af3.jpg,Comminuted fracture,treino
Comminuted fracture/Train/Anteroposterior-and-Lateral-X-ray-The-open-shaft-comminuted-tibial-fracture_png.rf.9578f185be2dd89c3f6908b4d8bbc479.jpg,Comminuted fracture,treino
Comminuted fracture/Train/C7-FF5-1_jpg.rf.ad91314ccfea0ca61bb1c944433d6439.jpg,Comminuted fracture,treino
Comminuted fracture/Train/F0358734-Comminuted_femur_fracture_X-ray_jpg.rf.5865027f4bea838255591bb42010dcce.jpg,Comminuted fracture,treino
Comminuted fracture/Train/IjDiLBvjA6tVtvz7n3F2tQ_jpg.rf.226b312db76fc101ac7097da989a81ec.jpg,Comminuted fracture,treino
Comminuted fracture/Train/a-AP-b-lateral-Initial-X-ray-shows-severe-comminuted-fractures-in-thae77445bf6.jpg,Comminuted fracture,treino
Comminuted fracture/Train/a509797810ba74_styl-radius_jpg.rf.13f49e5b53f0946aa07cb7664715b91.jpg,Comminuted fracture,treino
Comminuted fracture/Train/a509797810ba74_styl-radius_jpg.rf.13f49e5b53f0946aa07cb7664a715b91.jpg,Comminuted fracture,treino
Comminuted fracture/Train/b-X-ray-showing-comminuted-fractures-of-the-foot-in-the-same-patient_png.rf.04a71ef2371b46d5dce5ff4edd44820c.jpg,Comminuted fracture,treino
Comminuted fracture/Train/c0272663-800px-wm_jpg.rf.74eb8424e7e8636221ab7dbf7bd87f71.jpg,Comminuted fracture,treino
Comminuted fracture/Train/case_comminuted01_jpg.rf.a295df69a1aceb0b52f67f5178daa833.jpg,Comminuted fracture,treino
Comminuted fracture/Train/comminuted-2-1_jpg.rf.baa3eefc2e16a058ba27e97075a4e445.jpg,Comminuted fracture,treino
Comminuted fracture/Train/comminuted-fe-tibia-296x300_jpg.rf.a3599c4493d7e57ed0adac03015856d9.jpg,Comminuted fracture,treino
Comminuted fracture/Train/comminuted-fracture-tibia-296x300_jpg.rf.a3599c4493d7e57ed0adac03015856d9.jpg,Comminuted fracture,treino
Comminuted fracture/Train/comminuted20colton_jpg.rf.d7291e24f2d2ed2d26d71695dfc90b6f.jpg,Comminuted fracture,treino
Comminuted fracture/Train/comminuted_fracture-PNG2_jumbo_jpeg.rf.08377656988157f7084fda9186746df6.jpg,Comminuted fracture,treino
Comminuted fracture/Train/e-lower-leg-displacement-two-projections-vertical-image-radiograph-248620988_jpg.rf.1f69f6766b096b881b76c5a3b733013c.jpg,Comminuted fracture,treino
Comminuted fracture/Train/film-xray-knee-include-lef.7a2e28a0bd1dbf6f4b7dcaf6ca34428d.jpg,Comminuted fracture,treino
Comminuted fracture/Train/film-xray-knee-include-leg-260nw-587485373_jpg.rf.7a2e28a0bd1dbf6f4b7dcaf6ca34428d.jpg,Comminuted fracture,treino
Comminuted fracture/Train/fractured-leg-x-ray-2HJE0B8_jpg.rf.bcf6ae67e1a6caa758715919e2ff0454.jpg,Comminuted fracture,treino
Comminuted fracture/Train/gr1_lrg2_jpg.rf.a4eef4553d2a0bf9c5b3cf1c1e7ea13f.jpg,Comminuted fracture,treino
Comminuted fracture/Train/gr1_lrg_jpg.rf.c58421b289531ff0aba105dc4a2ce7c9.jpg,Comminuted fracture,treino
Comminuted fracture/Train/gr_1ab_jpg.rf.66be6e034d772e0434b8695a9c87f35.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image10_jpeg.rf.9c351e036298a7d6341efa02380eee62.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image11_jpeg.rf.9720bdac215632be4d4d80ec0b9a0b7b.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image12_jpeg.rf.5d15c4e2094ad749bef86329b1023e19.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image25_jpeg.rf.b76398fa87907947cbc35a2ebabc.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image25_jpeg.rf.b76398fa87907c1ea947cbc35a2ebabc.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image29_jpeg.rf.c51611fbed11e145be462324d4f0ac90.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image2_jpeg.rf.8e0b9b11eafd072db36efffa351fd12b.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image30_jpeg.rf.a352549246355a94f4d5ac6ce1b10f04.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image32_jpeg.rf.363df32aa528ed053c26f168c4d30da9.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image4_jpeg.rf.54a06e7329da311c784ca03e2d37d43c.jpg,Comminuted fracture,treino
Comminuted fracture/Train/image6_jpeg.rf.eb8c4e0f3dd8a93eaf70f1edb3e36fb7.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images16_jpg.rf.d775f7c15506556051d2afff2717c827.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images17_jpg.rf.a7bcd38e4a04b47d7e05019525498d08.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images19_jpg.rf.b79ae989e6dacad1c2053b5a7ee11e79.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images24_jpg.rf.7ab59c8d48627e68241a4d0b97ac83c0.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images27_jpg.rf.a40da5235aba28054fc8c4685700b70b.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images29_jpg.rf.06d47153ab1aae30d7600cdff192dee9.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images32_jpg.rf.745a6cc5974a2c23df2064ac9adeae7d.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images39_jpg.rf.caa1abbf971d2b8161b36d056fc.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images40_jpg.rf.cd2b16b8976cb628302f13fe3b7b2448.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images41_jpg.rf.59543145bf43c207f60d10547a123.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images43_jpg.rf.b70eeb34c89d4066f717f1e07491adfe.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images44_jpg.rf.86b921748748af90b777713904e7f81e.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images47_jpg.rf.a0e11facdc629b65dae47eae46e777f4.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images49_jpg.rf.262724ac10436bd7874317e3d9aeae7e.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images4_jpg.rf.6fadfb6727847fafce0d4a6ee2916862.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images55_jpg.rf.e7c3ce39d9806b6be29826882d0bf4ec.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images62_jpg.rf.c0a371d34410ca275a8307c18e2278a6.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images66_jpg.rf.5ee6d0852ce75f0e71ffd046e31eb400.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images66_jpg.rf.5ee6d0852ce75f0e76e31eb400.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images67_jpg.rf.1bda1e67604b6ab355644e391db0ccbe.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images71_jpg.rf.92c4e25002c296526f43c2c5f7cefc5d.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images73_jpg.rf.874d94faa9c76eac64e6a61caee213b7.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images76_jpg.rf.1a2ffd7918ff1d6d5ed82151e10a6.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images76_jpg.rf.1a2ffd7918fff4b1d6d5ed82151e10a6.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images77_jpg.rf.8babbfa8b1d9e808ce11d3e9374c03de.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images77_jpg.rf.8babbfa8b1d9e808ce11de9374c03de.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images79_jpg.rf.6140f9f43ae17aada4d7be1efd4c183a.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images81_jpg.rf.ddfaa2e0b9dbde20a1849c56094e5137.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images88_jpg.rf.52dbb0aac5087921358448b3bd1a53e5.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images8_jpg.rf.c2ea03de0284d7d956f7989b333379ee.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images91_jpg.rf.0ec3ba5769df7de92bd918a97ad134c7.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images9_jpg.rf.9be7f66c52bcb8267b805d44b05ff28a.jpg,Comminuted fracture,treino
Comminuted fracture/Train/images_jpg.rf.a1165d24c9ea807540eab0ab0526b05c.jpg,Comminuted fracture,treino
Fracture Dislocation/Test/0-_jumbo_jpeg.rf.29079abb47d5de12076aed66aea08064.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/1-s2-0-S1268773120301892-gr1_jpg.rf.a87a221ae10f0f11bf1e72867576588b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/1-s2-0-S1268773120301892-gr1_rf.a87a221ae10f0f11bf1e72867576588b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/10-1055-b-004-129594_c035_f009_jpg.rf.f834d08add09dc9092c544481c2b8907.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/1A_jpg.rf.0677856a44a86c9ddca947bda2.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/1A_jpg.rf.0677856b851eba44a86c9ddca947bda2.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/47yoMcentralhip_jpg.rf.6b862323b37cef4bf7c2131d48c837da.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/77f8f82dd8cdcf805923a93b0185e1_gallery_jpeg.rf.63372be12ae61d75d4c632618aaadaeb.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/847b5a158bed0311bf28b5cd647088_jumbo_jpg.rf.271ac7bed7b0dc447ad19199a5292c3d.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/86bc033b86310ef27328c4b723226a_jum422b4ebf41ac2a0d5043f304b7c1a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/86bc033b86310ef27328c4b723226a_jumbo_jpeg.rf.7dd422b4ebf41ac2a0d5043f304b7c1a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Test/89a0646700fc2a62049ff99073ce5d_jumbo_jpeg.rf.c56cb1e33641b1217effd83c152f1a02.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/41394_2021_399_Fig1_HTML_png.rf.b71005e1c457206f34a4507475d3ce30.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/50475857a3eeda867edb18cedd6cc2_jumbo_jpg.rf.32fb05a963e20c5d55a557a5f53348c1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/802280d22b265cf0668a0883436b7e_big_gallery_jpeg.rf.abcc24826037cfc864fb0648dc9ea8ef.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/A-AP-X-ray-showing-anterior-fracture-dislocation-Case-2_png.rf.77916b75a5d836b25d11f8d68ee99f89.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/A-Anteroposterior-X-ray-of-the-foot-showing-fracture-dislocation-of-navicular-B_png.rf.e572838a6da1d2111c37c17cec4dfc9c.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/A-Anteroposterior-X-ray-of-the-foot-showing-fracture-dislocation-of-navicular-B_png.rf.e57283da1d2111c37c17cec4dfc9c.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/A-B-Simple-X-rays-of-the-fracture-dislocation-C-D-Immediate-postoperat389c3a75212.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/A-B-Simple-X-rays-of-the-fracture-dislocation-C-D-postoperat389c3a75212.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Antero-posterior-and-lateral-X-ray-of-a-fracture-dislocation-of-the-left-elbow-in-a_png.rf.9557573d1019fc845b0ee139f8aa6801.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Antero-posterior-and-lateral-X-ray-of-a-fracture-dislocation-of-the-leg.rf.9557573d1019fc845b0ee139f8aa6801.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Conventional-X-rays-on-admission-showing-fracture-dislocation-C-preoperative_jpg.rf.507c79939d6efec41b27686e4321badd.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Conventional-X-rays-on-admission-showing-fracture-dislocation-C4-5-left-preoperative_jpg.rf.507c79939d6efec41b27686e4321badd.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/F1-large_jpg.rf.f07b71940901987206be4780843ae.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/F2-large_jpg.rf.56ccdce6b68f5e01cc5e2ce4ba.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/F3-large_jpg.rf.3c053eb6886cbef7bd612539b1b7db2c.jpg,Fracture Dislocation,treino
